Cli_ID,Name,lat,lon,elev (m),DRWP-RL5 (Pa)
1018621,VICTORIA INT'L A,48.65,-123.43,19,105.21
1021830,COMOX A,49.72,-124.9,26,265.84
1026271,PORT HARDY A,50.68,-127.37,22,148.07
1046391,POWELL RIVER A,49.83,-124.5,130,154.98
1057050,SANDSPIT A,53.25,-131.81,6,430.41
1066481,PRINCE RUPERT A,54.29,-130.44,35,223.58
1068134,TERRACE A,54.47,-128.58,217,127.94
1077500,SMITHERS A,54.82,-127.18,522,44.04
1096450,PRINCE GEORGE A,53.89,-122.68,691,59.28
1096630,QUESNEL A,53.03,-122.51,545,60.5
1098941,WILLIAMS LAKE A,52.18,-122.05,940,53.56
1100031,ABBOTSFORD A,49.03,-122.36,59,107.62
1108395,VANCOUVER INT'L A,49.2,-123.18,4,110.9
1123970,KELOWNA A,49.96,-119.38,430,54.66
1126146,PENTICTON A,49.46,-119.6,344,83.42
1152105,CRANBROOK A,49.61,-115.78,940,61.31
1163781,KAMLOOPS A,50.7,-120.44,345,79.89
1181508,CHETWYND A,55.69,-121.63,610,40.66
1183001,FORT ST JOHN A,56.24,-120.74,695,73.8
1192946,FORT NELSON A,58.84,-122.6,382,64.28
2100182,BURWASH A,61.37,-139.05,807,42.23
2100701,MAYO A,63.62,-135.87,504,31.92
2101201,WATSON LAKE A,60.12,-128.82,687,51.74
2101303,WHITEHORSE A,60.71,-135.07,706,33.1
2202103,FORT SIMPSON A,61.76,-121.24,169,63.07
2202201,FORT SMITH A,60.02,-111.96,205,48.64
2202401,HAY RIVER A,60.84,-115.78,165,62.23
2202571,INUVIK A,68.3,-133.48,68,45.82
2202801,NORMAN WELLS A,65.28,-126.8,73,59.24
2204101,YELLOWKNIFE A,62.46,-114.44,206,58.02
2300503,BAKER LAKE A,64.3,-96.08,18,110.9
2300903,KUGLUKTUK A,67.82,-115.14,23,77.19
2301002,CORAL HARBOUR A,64.19,-83.36,64,106.55
2303405,RANKIN INLET A,62.82,-92.12,29,118.57
2400601,CAMBRIDGE BAY A,69.11,-105.14,27,91.42
2400635,CAPE DORSET A,64.23,-76.53,50,142.55
2400800,CLYDE A,70.49,-68.52,27,65.59
2401203,EUREKA A,79.98,-85.93,10,4.82
2402350,HALL BEACH A,68.78,-81.24,8,68.83
2402596,IQALUIT A,63.75,-68.55,34,144.1
2403201,POND INLET A,72.68,-77.98,55,34.05
2403498,RESOLUTE CARS,74.72,-94.99,66,53.95
2403855,TALOYOAK A,69.55,-93.58,27,59.16
3012216,EDMONTON INT'L A,53.32,-113.58,723,112.76
3012208,EDMONTON CITY CENTRE A,53.57,-113.52,671,118.94
3013961,LLOYDMINSTER A,53.31,-110.07,668,111.82
3025481,RED DEER A,52.18,-113.89,905,100.89
3031092,CALGARY INT'L A,51.11,-114.02,1084,143.2
3033880,LETHBRIDGE A,49.63,-112.8,929,122.81
3034480,MEDICINE HAT A,50.02,-110.72,717,138.14
303F0PP,SPRINGBANK A,51.1,-114.37,1201,95.69
3062693,FORT MCMURRAY A,56.65,-111.22,369,58.92
3072921,GRANDE PRAIRIE A,55.18,-118.89,669,140.58
3073146,HIGH LEVEL A,58.62,-117.16,338,48.63
3075041,PEACE RIVER A,56.23,-117.45,571,82.18
3081680,COLD LAKE A,54.42,-110.28,541,89.76
4012401,ESTEVAN A,49.22,-102.97,581,147.88
4015320,MOOSE JAW A,50.33,-105.55,577,156.78
4016566,REGINA A,50.43,-104.67,577,182.29
4019080,YORKTON A,51.27,-102.47,498,119.44
4043901,KINDERSLEY A,51.52,-109.18,694,168.06
